id,text,label,domain,source,date
tbh-1906791183,"salah virus hanta tak menular antar-manusia, vaksinnya dipatenkan sejak 2022 kesehatan 18062026 mafindo akun tiktok anfauhumlinnas05l pada jum’at (15052026) mengunggah video arsip yang menunjukkan cuplikan wawancara mantan menteri kesehatan siti fadilah supari dengan arie untung yang isinya menyebutkan virus hanta tidak menular antarmanusia dan vaksinnya telah dipatenkan sejak 2022. tim pemeriksa fakta mafindo (turnbackhoax) menelusuri klaim tersebut dengan menggunakan google lens. hasilnya menunjukkan bahwa video yang beredar merupakan cuplikan dari siniar cerita untungs yang tayang di kanal youtube arie untung pada rabu (14052026). merujuk hasil verifikasi tim cek fakta tempo yang mewawancarai epidemiolog serta menelusuri sejumlah jurnal ilmiah dan sumber kredibel lainnya. hasilnya menunjukkan bahwa virus andes merupakan satu-satunya jenis hantavirus yang diketahui dapat menular antarmanusia. selain itu, paten yang diajukan pada 2022 bukanlah paten vaksin virus hanta, melainkan protein antigen yang berpotensi digunakan untuk pengembangan vaksin. sejumlah penelitian menunjukkan bahwa virus andes pernah menyebabkan wabah di argentina dan dapat menular antarmanusia. temuan tersebut juga sejalan dengan penjelasan organisasi kesehatan dunia (who), pusat pengendalian dan pencegahan penyakit amerika serikat (cdc), serta pusat pencegahan dan pengendalian penyakit eropa (ecdc). meski demikian, ecdc menjelaskan bahwa penularan antarmanusia pada virus andes tergolong jarang dan biasanya terjadi melalui kontak yang erat atau berkepanjangan dengan penderita. klaim bahwa vaksin virus hanta telah dipatenkan sejak 2022 juga tidak tepat. pengajuan yang dilakukan ilmuwan badan keamanan kesehatan inggris (ukhsa) sebenarnya berkaitan dengan protein antigen dari varian seoul yang dapat dimanfaatkan untuk pengembangan vaksin. antigen merupakan bagian dari virus yang dapat memicu tubuh membentuk antibodi untuk melawan infeksi. epidemiolog dari griffith university, dicky budiman, mengatakan virus hanta bukanlah virus baru karena telah dikenal sejak lama. menurutnya, penelitian dan pengembangan vaksin virus hanta merupakan bagian dari upaya kesiapsiagaan kesehatan, bukan bukti bahwa virus tersebut sengaja dibuat untuk memicu pandemi. vaksin tersebut ditujukan bagi kelompok berisiko tinggi di beberapa negara, seperti korea selatan, cile, argentina, dan amerika serikat. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-18
tbh-2088111215,"salah foto ""korban hantavirus di jakarta"" kesehatan 14062026 mafindo akun tiktok yona9855 pada jum’at (1552026) mengunggah video arsip disertai yang diklaim sebagai korban hantavirus di jakarta. unggahan tersebut disertai narasi lagi viral hantavirus lagi diselidiki dinas kesehatan dari mana asal nya hingga minggu (1462026) video tersebut telah dilihat lebih dari 800 kali dan disukai 10 kali. tim pemeriksa fakta mafindo (turnbackhoax) memeriksa foto pada unggahan tersebut menggunakan google lens. hasil penelusuran mengarah ke akun facebook ""wish kok lang"" yang mengunggah video bertagar behindthescenes dengan keterangan ""wish kok lang: rabies"". video tersebut serupa dengan unggahan akun tiktok ""yona9855"". diketahui, ""wish kok lang"" merupakan serial televisi filipina yang memiliki episode berjudul ""rabies"". turnbackhoax kemudian menelusuri informasi mengenai hantavirus di jakarta per mei 2026. berdasarkan informasi dari kementerian kesehatan, kasus hantavirus yang terdeteksi di dki jakarta masih terkendali. pemerintah juga memantau seluruh kontak erat pasien selama 14 hari untuk mencegah penularan lanjutan. kementerian kesehatan menegaskan bahwa hantavirus tidak mudah menular antar manusia seperti covid-19. sekitar 99 persen penularan terjadi melalui kontak dengan hewan pengerat, terutama tikus, atau cairan tubuhnya, seperti urine, air liur, dan feses. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-14
tbh-3481735066,"salah penderita diabetes tipe 1 dan tipe 2 bisa sembuh tanpa obat kesehatan 12062026 mafindo beredar unggahan video arsip dari akun instagram suhu.sanjaya pada rabu (362026) menampilkan seorang laki-laki yang sedang menjalani semacam terapi penyembuhan. unggahan beserta narasi : apakah diabetes tipe 1 dan 2 bisa sembuh tanpa obat ? yess, bisaaadianetes hingga jumat (1262026) unggahan telah mendapatkan 70-an tanda suka dan 20-an komentar. tim pemeriksa fakta mafindo (turnbackhoax) menelusuri klaim tersebut dengan menggunakan kata kunci diabetes tipe 1 dan tipe 2 bisa sembuh tanpa obat ke mesin pencari google. hasil penelusuran mengarah ke laman direktorat jenderal kesehatan lanjutan kementerian kesehatan ri berjudul apa itu diet diabetes melitus. dalam artikel tersebut dijelaskan bahwa diabetes melitus merupakan penyakit menahun yang diderita seumur hidup. kementerian kesehatan menegaskan bahwa diabetes melitus tidak dapat disembuhkan, tetapi dapat dikendalikan melalui pengelolaan yang tepat, seperti edukasi, pola makan sehat, olahraga dan pengobatan untuk mencegah komplikasi. dilansir dari kemenkes ri, diabetes tipe 1 terjadi akibat kerusakan sistem kekebalan tubuh yang menyebabkan pankreas tidak dapat memproduksi insulin. karena itu, penderita diabetes tipe 1 memerlukan terapi insulin sepanjang hidupnya untuk mengendalikan kadar gula darah dan mencegah komplikasi. kemenkes ri juga menjelaskan bahwa diabetes tipe 2 merupakan penyakit kronis yang terjadi akibat resistensi insulin atau produksi insulin yang tidak memadai. kondisi ini memerlukan pengelolaan jangka panjang melalui perubahan gaya hidup dan pengobatan sesuai anjuran dokter. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-12
tbh-4233496870,"salah tanpa pakai obat, memijat jari mampu sembuhkan penyakit kesehatan 10062026 mafindo akun tiktok santrigunung pada senin (08092025) mengunggah video arsip mengenai klaim bahwa berbagai penyakit dapat disembuhkan tanpa obat melalui teknik pijat pada jari. unggahan tersebut menyertakan petunjuk untuk menekan atau memijat titik-titik tertentu di jari yang disebut-sebut mampu mengatasi beragam gangguan kesehatan. hingga artikel ini tayang, unggahan tersebut telah dilihat lebih dari 90 kali, disukai sebanyak 90 akun, dan disimpan lebih dari 40 akun. tim pemeriksa fakta mafindo (turnbackhoax) menelusuri klaim tersebut dengan menggunakan kata kunci memijat jari sembuhkan penyakit dan menemukan sejumlah rujukan dari sumber medis kredibel. hasil penelusuran menunjukkan bahwa hingga saat ini belum ada bukti ilmiah yang membuktikan bahwa memijat jari tangan dapat menyembuhkan berbagai penyakit tanpa obat. merujuk hasil verifikasi tim cek fakta tempo, guru besar fakultas kedokteran universitas indonesia, zubairi djoerban, menjelaskan bahwa terdapat lebih dari 700 publikasi ilmiah mengenai akupresur, teknik pengobatan tradisional asal tiongkok yang dilakukan dengan memberikan tekanan pada titik-titik tertentu di tubuh. sejauh ini, penelitian yang ada umumnya menunjukkan bahwa akupresur dapat membantu meredakan nyeri dan memberikan efek relaksasi. karena itu, dalam dunia medis metode tersebut dikategorikan sebagai pengobatan komplementer atau pendamping pengobatan standar, bukan sebagai pengganti terapi medis. penjelasan serupa disampaikan ahli akupunktur berlisensi dari cleveland clinic, megan scott. menurutnya, akupresur dapat membantu meredakan sejumlah gejala fisik dan menenangkan pikiran, meskipun penelitian mengenai efektivitasnya masih terus berlangsung. sementara itu, alodokter menjelaskan bahwa beberapa titik refleksi pada tangan dapat ditekan untuk membantu meredakan keluhan tertentu, seperti sakit kepala dan konstipasi. pijat refleksi pada tangan juga dapat memberikan efek relaksasi dan membantu mengurangi kecemasan. sejumlah penelitian juga menemukan bahwa kombinasi akupuntur dan akupresur dapat memberikan manfaat tambahan, seperti membantu meningkatkan kualitas tidur pada pasien kanker payudara. namun, manfaat tersebut tidak menunjukkan bahwa pijatan pada jari dapat menyembuhkan penyakit. oleh karena itu, pasien yang sedang menjalani pengobatan tetap dianjurkan untuk melanjutkan terapi medis sesuai anjuran tenaga kesehatan. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-10
tbh-329974361,"salah pfizer rilis daftar efek samping vaksin covid-19 kesehatan 08062026 mafindo akun facebook key vanora mauriska noerhayadi pada minggu (1452026) mengunggah gambar arsip dengan narasi: teman-teman saya! ini resmi! pfizer baru saja menerbitkan daftar efek samping yang mungkin dari ""vaksin covid""nya! 1) pembekuan darah, 2) cedera ginjal akut, 3) myelitis flaccid akut, 4) antibodi anti-sperma positif, 5) embolisme batang otak, per senin (862026) unggahan tersebut sudah ditonton 481 kali, disukai 19 kali, dibagikan 10 kali dan menuai 1 komentar. tim pemeriksa fakta mafindo (turnbackhoax) menelusuri kebenaran klaim dengan memasukkan kata kunci pfizer rilis daftar efek samping vaksin covid-19 ke mesin pencarian google. hasil penelusuran mengarah ke sejumlah artikel dan berita, antara lain: berita kompas.com dokumen pfizer mencantumkan 1.291 efek vaksin yang tayang senin (2762022). berita ini melaporkan bahwa dokumen yang dilaporkan oleh pfizer-biontech itu hanya mencatat berbagai kondisi setelah vaksinasi yang dikumpulkan dari sistem pengawasan seperti vaccine adverse event reporting system (vaers) pemerintah as dan skema kartu kuning inggris. berita tirto.id pfizer rilis daftar efek samping vaksin covid-19 yang tayang pada rabu (362026). berita ini melaporkan bahwa pihak pfizer membantah klaim bahwa mereka baru saja merilis daftar rahasia berisi ribuan efek samping mematikan dari vaksin covid-19. sebagian besar efek samping yang dilaporkan bersifat ringan, namun terdapat beberapa kondisi serius yang sangat jarang terjadi. efek samping vaksin covid-19 umumnya bersifat ringan, seperti nyeri di area suntikan, kelelahan, demam, nyeri otot, dan sakit kepala. efek ini normal sebagai tanda sistem kekebalan tubuh sedang belajar melawan virus. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-08
tbh-3297305966,"salah who anjurkan konsumsi ivermectin tiap hari untuk cegah hantavirus kesehatan 24052026 mafindo beredar unggahan gambar arsip dari akun facebook pandu saptaji pada selasa (1952026) berisi narasi: konsumsi obat ivermectin tiap hari.. dapat hindari hantavirus menurut who hingga minggu (2452026) unggahan ini telah mendapatkan 5 tanda suka dan dibagikan dari 9 kali. tim pemeriksa fakta mafindo (turnbackhoax) mencari tahu kebenarannya dengan mengunjungi situs resmi who di who.int. di situs resminya, who tidak pernah mengunggah pernyataan bahwa ivermectin bisa cegah penularan hantavirus. melansir dari artikel who yang membahas hantavirus, dijelaskan bahwa saat ini belum ada obat atau vitamin tertentu yang sudah terbukti klinis mencegah penularan hantavirus. sejauh ini who hanya menjelaskan bahwa pencegahan utama hantavirus dilakukan dengan menghindari kontak dengan tikus, urine, kotoran, dan lingkungan yang terkontaminasi tikus. selain itu, obat ivermectin sendiri merupakan golongan obat keras yang penggunaannya harus berdasarkan pengawasan dokter. melansir dari alodokter.com, meski sudah mendapat izin dokter, penggunaan obat ivermectin tidak diperuntukan untuk jangka panjang apalagi rutin setiap hari. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-24
tbh-3386284107,"salah video ""sejumlah tikus terinfeksi hantavirus disebar pakai truk"" kesehatan 21052026 mafindo akun facebook pandu saptaji pada jumat (1552026) mengunggah video arsip dengan narasi: waduh barusan nemu video katanya ini truk di luar negeri yang ketahuan sengaja nyebarin tikus tikus yang terinveksi hantavirusapakah benar konspirasi bahwa hantavirus memang dibuat buat oleh penguasa dunia hahaha.... di indonesia ada juga enggak ya per kamis (2142026) unggahan tersebut sudah disukai 18 kali, dibagikan 13 kali dan menuai 7 komentar. tim pemeriksa fakta mafindo (turnbackhoax) menganalisis video menggunakan alat deteksi ai, hive moderation. diketahui, video merupakan hasil rekayasa kecerdasan buatan (artificial intelligenceai), probabilitas atau kemungkinannya mencapai 74,1 persen. turnbackhoax lalu memasukkan kata kunci sejumlah tikus terinfeksi hantavirus disebar pakai truk ke mesin pencarian google. hasil penelusuran mengarah ke artikel kompas.com video sejumlah tikus terinfeksi hantavirus disebar menggunakan truk adalah konten ai yang tayang pada rabu (1852026). artikel ini melaporkan bahwa video merupakan hasil rekayasa kecerdasan buatan (artificial intelligenceai), probabilitas atau kemungkinannya mencapai 99,8 persen. sepanjang penelusuran, tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim sejumlah tikus terinfeksi hantavirus disebar pakai truk. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-21
tbh-678277649,"salah hantavirus itu virus bohongan dari israel kesehatan 20052026 mafindo akun facebook pureblood.id pada senin (1142026) mengunggah narasi arsip sebagai berikut: taukah kamu bahwa hanta dalam bahasa israel itu artinya kebohongan? jadi hantavirus berarti virus boongan hingga rabu (2052026) unggahan tersebut telah mendapat tanda suka lebih dari 13 ribu, dan menuai lebih dari 130 komentar. tim pemeriksa fakta mafindo (turnbackhoax) menelusuri arti kata kebohongan melalui google translate dari bahasa indonesia ke bahasa ibrani. hasilnya, kata kebohongan dalam bahasa ibrani adalah sheker (שקר), bukan hanta. turnbackhoax kemudian menelusuri klaim terkait asal-usul hantavirus dengan memasukkan kata kunci asal-usul hantavirus ke mesin pencari google. hasil penelusuran mengarah ke artikel detik.com berjudul sejarah hantavirus, sudah ada di ri sejak 1980-an yang tayang pada jumat (852026). dilansir dari detik.com, penelitian mengenai hantavirus telah dilakukan sejak 1950-an. penemuan awal virus ini bermula dari penelitian ilmiah setelah perang korea (19511953). secara global, hantavirus mulai dikenal setelah munculnya wabah pada masa perang korea dan kemudian diteliti lebih lanjut oleh para ilmuwan. di indonesia, kasus infeksi hantavirus juga pernah ditemukan di beberapa daerah, meski tidak sebanyak penyakit menular lainnya. salah sumber: instagram.com whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-20
tbh-2241008745,"salah vaksin campak sebabkan autisme anak kesehatan 19052026 mafindo akun facebook senja kelana pada rabu (22122025) mengunggah gambar arsip dengan narasi: vaksin campak berakibat autis jangan salahkan allah swt dengan mengatakan.. ""sudah takdir..!"", sebab kalian diberi otak akal oleh allah ta'ala untuk bertanya, ""apa saja jeroan vaksin yang akan disuntikkan ke dalam anakku..??!!"" terlanjur divaksin? taubatlah..!!!! cepat keluarkan zat-zat laknat vaksin imunisasinya dengan cara 3in1 langsung bersamaan dengan izin allah swt. sebelum terlambat..! per selasa (1952026) unggahan tersebut sudah ditonton 481 kali, disukai 19 kali, dibagikan 10 kali dan menuai 1 komentar. turnbackhoax lalu memasukkan kata kunci vaksin campak sebabkan autisme anak ke mesin pencarian google. hasil penelusuran mengarah ke sejumlah artikel dan berita, antara lain. berita antaranews.com vaksin campak sebabkan autisme pada anak yang tayang pada senin (1152026). berita ini melaporkan bahwa vaksin mmr berfungsi melindungi anak dari tiga penyakit menular, yaitu campak (measles), gondong (mumps), dan rubella (campak jerman). penyakit-penyakit tersebut dapat menimbulkan komplikasi serius jika tidak dicegah melalui imunisasi. berita tirto.id vaksin mmr sebabkan autisme pada anak yang tayang pada jumat (152026). berita ini melaporkan bahwa vaksin mmr menyebabkan autisme tidak didukung bukti ilmiah. berbagai penelitian tidak menemukan hubungan antara vaksin mmr dan gangguan spektrum autisme (asd). klaim tersebut berasal dari studi andrew wakefield tahun 1998 yang telah ditarik karena masalah etik dan data yang tidak valid. sepanjang penelusuran, tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim vaksin campak sebabkan autisme anak. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-19
tbh-2867745016,"salah jahe, kunyit, kencur, dan serai bersihkan paru-paru dari asap rokok kesehatan 18052026 mafindo akun facebook dewi tips pada kamis, (16042026) mengunggah video arsip yang menunjukkan cara membersihkan paru-paru dari lendir, asap rokok ,debu dan polusi yang menempel, unggahan itu disertai dengan narasi sebagai berikut: bersihkan paru-paru dari lendir, asap rokok ,debu dan polusi yang menempel selama ini tips tutorial kesehatan health medical hingga artikel ini diterbitkan unggahan tersebut telah diputar lebih dar 33 ribu tayangan, mendapatkan 543 reaksi, lebih dari 11 interaksi komentar, dan dibagikan ulang sebanyak 91 kali. tim pemeriksa fakta mafindo (turnbackhoax) menelusuri informasi tersebut melalui mesin pencari google. hasil penelusuran mengarah pada sejumlah artikel kesehatan dan publikasi ilmiah yang membahas manfaat bahan tersebut terhadap kesehatan tubuh dan saluran pernapasan. jahe, kunyit, dan bawang putih memang memiliki kandungan antioksidan dan sifat antiinflamasi yang dapat membantu mengurangi peradangan atau mendukung kesehatan paru-paru, namun tidak ada bukti ilmiah yang menyatakan bahan-bahan tersebut mampu secara langsung membersihkan paru-paru dari asap rokok, lendir, maupun debu. artikel pemeriksaan fakta yang dimuat thip media juga menjelaskan bahwa paru-paru memiliki mekanisme alami untuk membersihkan partikel asing melalui silia dan lendir. proses tersebut tidak dapat digantikan atau dipulihkan hanya dengan mengonsumsi ramuan herbal tertentu. salah sumber: whatsapp hotline: 0896-8006-0088 kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-18
