id,text,label,domain,source,date,url_sumber
tbh-1906791183,"[SALAH] Virus Hanta Tak Menular Antar-Manusia, Vaksinnya Dipatenkan Sejak 2022 Kesehatan
18/06/2026
Mafindo
Akun TikTok “anfauhumlinnas05l” pada Jum’at (15/05/2026) mengunggah video [arsip] yang menunjukkan cuplikan wawancara mantan Menteri Kesehatan Siti Fadilah Supari dengan Arie Untung yang isinya menyebutkan virus hanta tidak menular antarmanusia dan vaksinnya telah dipatenkan sejak 2022.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri klaim tersebut dengan menggunakan Google Lens. Hasilnya menunjukkan bahwa video yang beredar merupakan cuplikan dari siniar Cerita Untungs yang tayang di kanal YouTube Arie Untung pada Rabu (14/05/2026).
Merujuk hasil verifikasi Tim Cek Fakta Tempo yang mewawancarai epidemiolog serta menelusuri sejumlah jurnal ilmiah dan sumber kredibel lainnya. Hasilnya menunjukkan bahwa virus Andes merupakan satu-satunya jenis hantavirus yang diketahui dapat menular antarmanusia. Selain itu, paten yang diajukan pada 2022 bukanlah paten vaksin virus hanta, melainkan protein antigen yang berpotensi digunakan untuk pengembangan vaksin.
Sejumlah penelitian menunjukkan bahwa virus Andes pernah menyebabkan wabah di Argentina dan dapat menular antarmanusia. Temuan tersebut juga sejalan dengan penjelasan Organisasi Kesehatan Dunia (WHO), Pusat Pengendalian dan Pencegahan Penyakit Amerika Serikat (CDC), serta Pusat Pencegahan dan Pengendalian Penyakit Eropa (ECDC). Meski demikian, ECDC menjelaskan bahwa penularan antarmanusia pada virus Andes tergolong jarang dan biasanya terjadi melalui kontak yang erat atau berkepanjangan dengan penderita.
Klaim bahwa vaksin virus hanta telah dipatenkan sejak 2022 juga tidak tepat. Pengajuan yang dilakukan ilmuwan Badan Keamanan Kesehatan Inggris (UKHSA) sebenarnya berkaitan dengan protein antigen dari varian Seoul yang dapat dimanfaatkan untuk pengembangan vaksin. Antigen merupakan bagian dari virus yang dapat memicu tubuh membentuk antibodi untuk melawan infeksi.
Epidemiolog dari Griffith University, Dicky Budiman, mengatakan virus hanta bukanlah virus baru karena telah dikenal sejak lama. Menurutnya, penelitian dan pengembangan vaksin virus hanta merupakan bagian dari upaya kesiapsiagaan kesehatan, bukan bukti bahwa virus tersebut sengaja dibuat untuk memicu pandemi. Vaksin tersebut ditujukan bagi kelompok berisiko tinggi di beberapa negara, seperti Korea Selatan, Cile, Argentina, dan Amerika Serikat.
Salah

Sumber: 
https://archive.ph/8MOKP
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-18,https://turnbackhoax.id/articles/35257-salah-virus-hanta-tak-menular-antar-manusia-vaksinnya-dipatenkan-sejak-2022
tbh-2088111215,"[SALAH] Foto ""Korban Hantavirus di Jakarta"" Kesehatan
14/06/2026
Mafindo
Akun TikTok “yona9855” pada Jum’at (15/5/2026) mengunggah video [arsip] disertai yang diklaim sebagai korban Hantavirus di Jakarta. Unggahan tersebut disertai narasi
“lagi viral hantavirus lagi diselidiki dinas kesehatan dari mana asal nya”
Hingga Minggu (14/6/2026) video tersebut telah dilihat lebih dari 800 kali dan disukai 10 kali.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) memeriksa foto pada unggahan tersebut menggunakan Google Lens. Hasil penelusuran mengarah ke akun Facebook ""Wish Ko Lang"" yang mengunggah video bertagar #BehindTheScenes dengan keterangan ""Wish Ko Lang: Rabies"". Video tersebut serupa dengan unggahan akun TikTok ""Yona9855"". Diketahui, ""Wish Ko Lang"" merupakan serial televisi Filipina yang memiliki episode berjudul ""Rabies"".
TurnBackHoax kemudian menelusuri informasi mengenai hantavirus di Jakarta per Mei 2026. Berdasarkan informasi dari Kementerian Kesehatan, kasus hantavirus yang terdeteksi di DKI Jakarta masih terkendali. Pemerintah juga memantau seluruh kontak erat pasien selama 14 hari untuk mencegah penularan lanjutan.
Kementerian Kesehatan menegaskan bahwa hantavirus tidak mudah menular antar manusia seperti COVID-19. Sekitar 99 persen penularan terjadi melalui kontak dengan hewan pengerat, terutama tikus, atau cairan tubuhnya, seperti urine, air liur, dan feses.
Salah

Sumber: 
https://www.tiktok.com/@yona9855/video/7640150389307886866?_r=1&_t=ZS-971gRSJv955
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-14,https://turnbackhoax.id/articles/35214-salah-foto-korban-hantavirus-di-jakarta
tbh-3481735066,"[SALAH] Penderita Diabetes Tipe 1 dan Tipe 2 Bisa Sembuh Tanpa Obat Kesehatan
12/06/2026
Mafindo
Beredar unggahan video [arsip] dari akun Instagram “suhu.sanjaya” pada Rabu (3/6/2026) menampilkan seorang laki-laki yang sedang menjalani semacam terapi penyembuhan. Unggahan beserta narasi :
“Apakah diabetes tipe 1 dan 2 bisa Sembuh tanpa obat ?
Yess, Bisaaa#Dianetes”
Hingga Jumat (12/6/2026) unggahan telah mendapatkan 70-an tanda suka dan 20-an komentar.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri klaim tersebut dengan menggunakan kata kunci “diabetes tipe 1 dan tipe 2 bisa sembuh tanpa obat” ke mesin pencari Google. Hasil penelusuran mengarah ke laman Direktorat Jenderal Kesehatan Lanjutan Kementerian Kesehatan RI berjudul “Apa itu Diet Diabetes Melitus”.
Dalam artikel tersebut dijelaskan bahwa diabetes melitus merupakan penyakit menahun yang diderita seumur hidup. Kementerian Kesehatan menegaskan bahwa diabetes melitus tidak dapat disembuhkan, tetapi dapat dikendalikan melalui pengelolaan yang tepat, seperti edukasi, pola makan sehat, olahraga dan pengobatan untuk mencegah komplikasi.
Dilansir dari Kemenkes RI, diabetes tipe 1 terjadi akibat kerusakan sistem kekebalan tubuh yang menyebabkan pankreas tidak dapat memproduksi insulin. Karena itu, penderita diabetes tipe 1 memerlukan terapi insulin sepanjang hidupnya untuk mengendalikan kadar gula darah dan mencegah komplikasi.
Kemenkes RI juga menjelaskan bahwa diabetes tipe 2 merupakan penyakit kronis yang terjadi akibat resistensi insulin atau produksi insulin yang tidak memadai. Kondisi ini memerlukan pengelolaan jangka panjang melalui perubahan gaya hidup dan pengobatan sesuai anjuran dokter.
Salah

Sumber: 
https://www.instagram.com/reels/DY5472qzYBO/
https://archive.ph/wip/WLv9n
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-12,https://turnbackhoax.id/articles/35194-salah-penderita-diabetes-tipe-1-dan-tipe-2-bisa-sembuh-tanpa-obat
tbh-4233496870,"[SALAH] Tanpa Pakai Obat, Memijat Jari Mampu Sembuhkan Penyakit Kesehatan
10/06/2026
Mafindo
Akun TikTok “santrigunung” pada Senin (08/09/2025) mengunggah video [arsip] mengenai klaim bahwa berbagai penyakit dapat disembuhkan tanpa obat melalui teknik pijat pada jari. Unggahan tersebut menyertakan petunjuk untuk menekan atau memijat titik-titik tertentu di jari yang disebut-sebut mampu mengatasi beragam gangguan kesehatan.
Hingga artikel ini tayang, unggahan tersebut telah dilihat lebih dari 90 kali, disukai sebanyak 90 akun, dan disimpan lebih dari 40 akun.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri klaim tersebut dengan menggunakan kata kunci “memijat jari sembuhkan penyakit” dan menemukan sejumlah rujukan dari sumber medis kredibel. Hasil penelusuran menunjukkan bahwa hingga saat ini belum ada bukti ilmiah yang membuktikan bahwa memijat jari tangan dapat menyembuhkan berbagai penyakit tanpa obat.
Merujuk hasil verifikasi Tim Cek Fakta Tempo, Guru Besar Fakultas Kedokteran Universitas Indonesia, Zubairi Djoerban, menjelaskan bahwa terdapat lebih dari 700 publikasi ilmiah mengenai akupresur, teknik pengobatan tradisional asal Tiongkok yang dilakukan dengan memberikan tekanan pada titik-titik tertentu di tubuh. Sejauh ini, penelitian yang ada umumnya menunjukkan bahwa akupresur dapat membantu meredakan nyeri dan memberikan efek relaksasi. Karena itu, dalam dunia medis metode tersebut dikategorikan sebagai pengobatan komplementer atau pendamping pengobatan standar, bukan sebagai pengganti terapi medis.
Penjelasan serupa disampaikan ahli akupunktur berlisensi dari Cleveland Clinic, Megan Scott. Menurutnya, akupresur dapat membantu meredakan sejumlah gejala fisik dan menenangkan pikiran, meskipun penelitian mengenai efektivitasnya masih terus berlangsung. Sementara itu, Alodokter menjelaskan bahwa beberapa titik refleksi pada tangan dapat ditekan untuk membantu meredakan keluhan tertentu, seperti sakit kepala dan konstipasi. Pijat refleksi pada tangan juga dapat memberikan efek relaksasi dan membantu mengurangi kecemasan.
Sejumlah penelitian juga menemukan bahwa kombinasi akupuntur dan akupresur dapat memberikan manfaat tambahan, seperti membantu meningkatkan kualitas tidur pada pasien kanker payudara. Namun, manfaat tersebut tidak menunjukkan bahwa pijatan pada jari dapat menyembuhkan penyakit. Oleh karena itu, pasien yang sedang menjalani pengobatan tetap dianjurkan untuk melanjutkan terapi medis sesuai anjuran tenaga kesehatan.
Salah

Sumber: 
https://arsip.cekfakta.com/archive/1780928147.445712/index.html
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-10,https://turnbackhoax.id/articles/35162-salah-tanpa-pakai-obat-memijat-jari-mampu-sembuhkan-penyakit
tbh-329974361,"[SALAH] Pfizer Rilis Daftar Efek Samping Vaksin Covid-19 Kesehatan
08/06/2026
Mafindo
Akun Facebook “Key Vanora Mauriska Noerhayadi ” pada Minggu (14/5/2026) mengunggah gambar [arsip] dengan narasi:
“TEMAN-TEMAN SAYA!
INI RESMI! PFIZER BARU SAJA MENERBITKAN DAFTAR EFEK SAMPING YANG MUNGKIN DARI ""VAKSIN COVID""NYA!
1) Pembekuan darah,
2) Cedera ginjal akut,
3) Myelitis flaccid akut,
4) Antibodi anti-sperma positif,
5) Embolisme batang otak,
Per Senin (8/6/2026) unggahan tersebut sudah ditonton 481 kali, disukai 19  kali, dibagikan 10 kali dan menuai 1 komentar.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri kebenaran klaim dengan memasukkan kata kunci “Pfizer Rilis Daftar Efek Samping Vaksin Covid-19” ke mesin pencarian Google. Hasil penelusuran mengarah ke sejumlah artikel dan berita, antara lain:
Berita Kompas.com “Dokumen Pfizer Mencantumkan 1.291 Efek Vaksin” yang tayang Senin (27/6/2022). Berita ini melaporkan bahwa Dokumen yang dilaporkan oleh Pfizer-BioNTech itu hanya mencatat berbagai kondisi setelah vaksinasi yang dikumpulkan dari sistem pengawasan seperti Vaccine Adverse Event Reporting System (VAERS) pemerintah AS dan skema kartu kuning Inggris.
Berita tirto.id “Pfizer Rilis Daftar Efek Samping Vaksin Covid-19” yang tayang pada Rabu (3/6/2026). Berita ini melaporkan bahwa pihak Pfizer membantah klaim bahwa mereka baru saja merilis daftar rahasia berisi ribuan efek samping mematikan dari vaksin COVID-19. Sebagian besar efek samping yang dilaporkan bersifat ringan, namun terdapat beberapa kondisi serius yang sangat jarang terjadi.
Efek samping vaksin Covid-19 umumnya bersifat ringan, seperti nyeri di area suntikan, kelelahan, demam, nyeri otot, dan sakit kepala. Efek ini normal sebagai tanda sistem kekebalan tubuh sedang belajar melawan virus.
Salah

Sumber: 
https://www.facebook.com/share/p/1EzQwEjcZz/
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-06-08,https://turnbackhoax.id/articles/35103-salah-pfizer-rilis-daftar-efek-samping-vaksin-covid-19
tbh-3297305966,"[SALAH] WHO Anjurkan Konsumsi Ivermectin Tiap Hari untuk Cegah Hantavirus Kesehatan
24/05/2026
Mafindo
Beredar unggahan gambar [arsip] dari akun Facebook “Pandu Saptaji” pada Selasa (19/5/2026) berisi narasi:
“KONSUMSI OBAT IVERMECTIN TIAP HARI.. DAPAT HINDARI HANTAVIRUS MENURUT WHO”
Hingga Minggu (24/5/2026) unggahan ini telah mendapatkan 5 tanda suka dan dibagikan dari 9 kali.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) mencari tahu kebenarannya dengan mengunjungi situs resmi WHO di “who.int”. Di situs resminya, WHO tidak pernah mengunggah pernyataan bahwa ivermectin bisa cegah penularan hantavirus.
Melansir dari artikel WHO yang membahas hantavirus, dijelaskan bahwa saat ini belum ada obat atau vitamin tertentu yang sudah terbukti klinis mencegah penularan hantavirus. Sejauh ini WHO hanya menjelaskan bahwa pencegahan utama hantavirus dilakukan dengan menghindari kontak dengan tikus, urine, kotoran, dan lingkungan yang terkontaminasi tikus.
Selain itu, obat ivermectin sendiri merupakan golongan obat keras yang penggunaannya harus berdasarkan pengawasan dokter. Melansir dari alodokter.com, meski sudah mendapat izin dokter, penggunaan obat ivermectin tidak diperuntukan untuk jangka panjang apalagi rutin setiap hari.
Salah

Sumber: 
https://web.facebook.com/photo?fbid=122166649346901508&set=a.122166649574901508
https://arsip.cekfakta.com/archive/1779256100.886682/index.html
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-24,https://turnbackhoax.id/articles/34643-salah-who-anjurkan-konsumsi-ivermectin-tiap-hari-untuk-cegah-hantavirus
tbh-3386284107,"[SALAH] Video ""Sejumlah Tikus Terinfeksi Hantavirus Disebar Pakai Truk"" Kesehatan
21/05/2026
Mafindo
Akun Facebook “Pandu Saptaji” pada Jumat (15/5/2026) mengunggah video [arsip] dengan narasi:
“waduhhh barusan nemu video katanya ini truk  di luar negeri yang ketahuan sengaja nyebarin tikus tikus yang terinveksi hantavirus🤣🤣apakah bener konspirasi bahwa hantavirus memang dibuat buat oleh penguasa dunia hahaha.... di indo ada juga ga ya”
Per kamis (21/4/2026) unggahan tersebut sudah disukai 18 kali, dibagikan 13 kali dan menuai 7 komentar.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax)  menganalisis video menggunakan alat deteksi AI, Hive Moderation. Diketahui, video merupakan hasil rekayasa kecerdasan buatan (artificial intelligence/AI), probabilitas atau kemungkinannya mencapai 74,1 persen.
TurnBackHoax lalu memasukkan kata kunci “sejumlah tikus terinfeksi Hantavirus disebar pakai truk” ke mesin pencarian Google. Hasil penelusuran mengarah ke artikel kompas.com “Video Sejumlah Tikus Terinfeksi Hantavirus Disebar Menggunakan Truk adalah Konten AI” yang tayang pada Rabu (18/5/2026). Artikel ini melaporkan bahwa video merupakan hasil rekayasa kecerdasan buatan (artificial intelligence/AI), probabilitas atau kemungkinannya mencapai 99,8 persen.
Sepanjang penelusuran, tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim “sejumlah tikus terinfeksi Hantavirus disebar pakai truk”.
Salah

Sumber: 
https://web.facebook.com/share/v/1GP8xLMnYw/
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-21,https://turnbackhoax.id/articles/34524-salah-video-sejumlah-tikus-terinfeksi-hantavirus-disebar-pakai-truk
tbh-678277649,"[SALAH] Hantavirus Itu Virus Bohongan dari Israel Kesehatan
20/05/2026
Mafindo
Akun Facebook “pureblood.id” pada Senin (11/4/2026) mengunggah narasi [arsip] sebagai berikut:
“Taukah kamu bahwa “Hanta” dalam bahasa Israel itu artinya kebohongan?
Jadi Hantavirus 🐭 berarti virus boongan”
Hingga Rabu (20/5/2026) unggahan tersebut telah mendapat tanda suka lebih dari 13 ribu, dan menuai lebih dari 130 komentar.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri arti kata “kebohongan” melalui Google Translate dari Bahasa Indonesia ke Bahasa Ibrani. Hasilnya, kata “kebohongan” dalam bahasa Ibrani adalah “sheker” (שקר), bukan “hanta”.
TurnBackHoax kemudian menelusuri klaim terkait asal-usul Hantavirus dengan memasukkan kata kunci “asal-usul Hantavirus” ke mesin pencari Google. Hasil penelusuran mengarah ke artikel detik.com berjudul “Sejarah Hantavirus, Sudah Ada di RI Sejak 1980-an” yang tayang pada Jumat (8/5/2026).
Dilansir dari detik.com, penelitian mengenai Hantavirus telah dilakukan sejak 1950-an. Penemuan awal virus ini bermula dari penelitian ilmiah setelah Perang Korea (1951–1953).
Secara global, Hantavirus mulai dikenal setelah munculnya wabah pada masa Perang Korea dan kemudian diteliti lebih lanjut oleh para ilmuwan. Di Indonesia, kasus infeksi Hantavirus juga pernah ditemukan di beberapa daerah, meski tidak sebanyak penyakit menular lainnya.
Salah

Sumber: 
Instagram.com
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-20,https://turnbackhoax.id/articles/34512-salah-hantavirus-itu-virus-bohongan-dari-israel
tbh-2241008745,"[SALAH] Vaksin Campak Sebabkan Autisme Anak Kesehatan
19/05/2026
Mafindo
Akun Facebook “Senja Kelana” pada Rabu (22/12/2025) mengunggah gambar [arsip] dengan narasi:
“VAKSIN CAMPAK BERAKIBAT AUTIS JANGAN SALAHKAN ALLOH SWT DENGAN MENGATAKAN.. ""SUDAH TAKDIR..!"",
SEBAB KALIAN DIBERI OTAK/ AKAL OLEH ALLOH TA'ALA UNTUK BERTANYA, ""APA SAJA JEROAN VAKSIN YG AKAN DISUNTIKKAN KE DALAM ANAKKU..??!!""
Terlanjur divaksin? TAUBATLAH..!!!!
CEPAT Keluarkan Zat-zat Laknat Vaksin / imunisasinya dengan cara 3in1 Langsung Bersamaan Dengan izin Alloh SWT. SEBELUM TERLAMBAT..!
Per Selasa (19/5/2026) unggahan tersebut sudah ditonton 481 kali, disukai 19  kali, dibagikan 10 kali dan menuai 1 komentar.
TurnBackHoax lalu memasukkan kata kunci “vaksin campak sebabkan autisme anak” ke mesin pencarian Google. Hasil penelusuran mengarah ke sejumlah artikel dan berita, antara lain.
Berita antaranews.com “Vaksin campak sebabkan autisme pada anak” yang tayang pada Senin (11/5/2026). Berita ini melaporkan bahwa vaksin MMR berfungsi melindungi anak dari tiga penyakit menular, yaitu campak (measles), gondong (mumps), dan rubella (campak Jerman). Penyakit-penyakit tersebut dapat menimbulkan komplikasi serius jika tidak dicegah melalui imunisasi.
Berita tirto.id “Vaksin MMR Sebabkan Autisme pada Anak” yang tayang pada Jumat (1/5/2026). Berita ini melaporkan bahwa vaksin MMR menyebabkan autisme tidak didukung bukti ilmiah. Berbagai penelitian tidak menemukan hubungan antara vaksin MMR dan gangguan spektrum autisme (ASD). Klaim tersebut berasal dari studi Andrew Wakefield tahun 1998 yang telah ditarik karena masalah etik dan data yang tidak valid.
Sepanjang penelusuran, tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim “Vaksin Campak sebabkan Autisme Anak”.
Salah

Sumber: 
https://web.facebook.com/share/r/1HmQdcdMbN/?mibextid=wwXIfr
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-19,https://turnbackhoax.id/articles/34468-salah-vaksin-campak-sebabkan-autisme-anak
tbh-2867745016,"[SALAH] Jahe, Kunyit, Kencur, dan Serai Bersihkan Paru-Paru dari Asap Rokok Kesehatan
18/05/2026
Mafindo
Akun Facebook “Dewi Tips” pada Kamis, (16/04/2026) mengunggah video [arsip] yang menunjukkan cara membersihkan paru-paru dari lendir, asap rokok ,debu dan polusi yang menempel, unggahan itu disertai dengan narasi sebagai berikut:
bersihkan paru-paru dari lendir, asap rokok ,debu dan polusi yang menempel selama ini #tips #tutorial #kesehatan #health #medical
Hingga artikel ini diterbitkan unggahan tersebut telah diputar lebih dar 33 ribu tayangan, mendapatkan 543 reaksi, lebih dari 11 interaksi komentar, dan dibagikan ulang sebanyak 91 kali.
Tim Pemeriksa Fakta Mafindo (TurnBackHoax) menelusuri informasi tersebut melalui mesin pencari Google. Hasil penelusuran mengarah pada sejumlah artikel kesehatan dan publikasi ilmiah yang membahas manfaat bahan tersebut terhadap kesehatan tubuh dan saluran pernapasan.
Jahe, kunyit, dan bawang putih memang memiliki kandungan antioksidan dan sifat antiinflamasi yang dapat membantu mengurangi peradangan atau mendukung kesehatan paru-paru, namun tidak ada bukti ilmiah yang menyatakan bahan-bahan tersebut mampu secara langsung “membersihkan” paru-paru dari asap rokok, lendir, maupun debu.
Artikel pemeriksaan fakta yang dimuat THIP Media juga menjelaskan bahwa paru-paru memiliki mekanisme alami untuk membersihkan partikel asing melalui silia dan lendir. Proses tersebut tidak dapat digantikan atau dipulihkan hanya dengan mengonsumsi ramuan herbal tertentu.
Salah

Sumber: 
https://arsip.cekfakta.com/archive/1778680058.426865/index.html
Whatsapp Hotline: 0896-8006-0088
Kalimasada: 0859-2160-0500",0,kesehatan,turnbackhoax.id,2026-05-18,https://turnbackhoax.id/articles/34445-salah-jahe-kunyit-kencur-dan-serai-bersihkan-paru-paru-dari-asap-rokok
