id,text,label,domain,source,date
hf-10,"[SALAH] Paparan Sinar Matahari Tidak Menyebabkan Kanker Kulit, tapi Sun Screen Penyebabnya – TurnBackHoax.ID",0,kesehatan,hoaxid_hf,2022-07-30
hf-25,[SALAH] Menahan Tangis Bisa Menyebabkan Kanker – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-25
hf-42,[SALAH] Beberapa vaksin COVID-19 dapat meningkatkan risiko HIV. – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-22
hf-44,[SALAH] Tjahjo Kumolo meninggal karena Vaksin Covid-19 – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-21
hf-46,"[SALAH] Robert Malone, vaksin Covid-19 yang disuntikkan ke anak mengakibatkan spike protein beracun – TurnBackHoax.ID",0,kesehatan,hoaxid_hf,2022-07-20
hf-50,[SALAH] Vaksin Covid-19 menurunkan fertilitas pria – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-20
hf-52,[SALAH] Vaksin covid-19 fungsinya untuk mengontrol manusia bukan untuk kesehatan – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-19
hf-53,[SALAH] Hati-hati program vaksin BIAS disekolah – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-18
hf-61,[SALAH] Cacar Monyet Disebabkan dari Efek Samping Vaksin Covid-19 AstraZeneca – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-16
hf-79,[SALAH] Air Rebusan Daun Putri Malu Menyembuhkan Vertigo hingga Stroke – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-07-13
hf-103,[SALAH] Makan Buah Saat Perut Kosong Dapat Sembuhkan Kanker – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-30
hf-115,[SALAH] Efektivitas Vaksin Pfizer Hanya Sebesar 12% – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-29
hf-119,[SALAH] “Vaksin Cacar Menyebabkan Gelombang Infeksi Virus AIDS” – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-28
hf-121,[SALAH] “Studi CDC Mengonfirmasi Kekebalan Alami Lebih Kuat Daripada Vaksin COVID-19” – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-28
hf-139,[SALAH] Bill Gates Menyiapkan Miliaran Vaksin Cacar Monyet – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-23
hf-140,[SALAH] Justin Bieber Mengatakan Kelumpuhan Wajahnya Disebabkan Oleh Vaksin Covid-19 – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-23
hf-149,[SALAH] Lemon Dapat Membunuh Sel Kanker dan 10.000 Kali Lebih Ampuh Daripada Kemoterapi – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-23
hf-193,[SALAH] Ilmuwan Pembuat Virus Corona Telah Ditangkap – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-13
hf-196,[SALAH] Vaksin Merupakan Praktik Depopulasi Rakyat – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-12
hf-200,[SALAH]: Kerokan Kulit Batang Pohon Mangga Dapat Mengobati Sakit Gigi – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-09
hf-241,[SALAH] Metode Pertolongan Pertama melalui Pelepasan Darah bagi Penderita Stroke – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-06-02
hf-246,[SALAH] Vaksin Covid-19 Dapat Sebabkan AIDS Sampai Cacar Monyet – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-31
hf-272,[SALAH] Militer Amerika Menemukan Pestisida dalam Vaksin Covid-19 Moderna – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-29
hf-294,[SALAH] Vaksin mRNA Tidak Direkomendasikan Selama Kehamilan – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-24
hf-295,[SALAH] Vaksin mRNA Menyebabkan Hepatitis Pada Anak – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-24
hf-306,[SALAH] Cek Gula Darah Gratis Menularkan Virus HIV – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-22
hf-323,[SALAH] Berita CNN tentang Dokter Terawan yang Menemukan Pengganti Insulin – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-20
hf-331,[SALAH] Pijatan Telapak Tangan untuk Sembuhkan Penyumbatan Jantung – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-17
hf-334,[SALAH] Lowongan Kerja Dinas Kesehatan Kabupaten Karanganyar – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-17
hf-363,[SALAH] Campuran Air Panas dan Pare Mampu Bunuh Sel Kanker – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-10
hf-367,[SALAH] Air Rebusan Rumput Paragis dapat Sembuhkan Kanker – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-09
hf-381,[SALAH] Pemerintah Akan Ambil Alih Izin Praktik Dokter dari IDI Dampak Terawan Dipecat – TurnBackHoax.ID,0,kesehatan,hoaxid_hf,2022-05-02
